No,house age,distance to the nearest MRT station,number of convenience stores,latitude,longitude,house price of unit area,
1,32,84.87882,10,24.98298,121.54024,37.9,379000
2,19.5,306.5947,9,24.98034,121.53951,42.2,422000
3,13.3,561.9845,5,24.98746,121.54391,47.3,473000
4,13.3,561.9845,5,24.98746,121.54391,54.8,548000
5,5,390.5684,5,24.97937,121.54245,43.1,431000
6,7.1,2175.03,3,24.96305,121.51254,32.1,321000
7,34.5,623.4731,7,24.97933,121.53642,40.3,403000
8,20.3,287.6025,6,24.98042,121.54228,46.7,467000
9,31.7,5512.038,1,24.95095,121.48458,18.8,188000
10,17.9,1783.18,3,24.96731,121.51486,22.1,221000
11,34.8,405.2134,1,24.97349,121.53372,41.4,414000
12,6.3,90.45606,9,24.97433,121.5431,58.1,581000
13,13,492.2313,5,24.96515,121.53737,39.3,393000
14,20.4,2469.645,4,24.96108,121.51046,23.8,238000
15,13.2,1164.838,4,24.99156,121.53406,34.3,343000
16,35.7,579.2083,2,24.9824,121.54619,50.5,505000
17,0,292.9978,6,24.97744,121.54458,70.1,701000
18,17.7,350.8515,1,24.97544,121.53119,37.4,374000
19,16.9,368.1363,8,24.9675,121.54451,42.3,423000
20,1.5,23.38284,7,24.96772,121.54102,47.7,477000
21,4.5,2275.877,3,24.96314,121.51151,29.3,293000
22,10.5,279.1726,7,24.97528,121.54541,51.6,516000
23,14.7,1360.139,1,24.95204,121.54842,24.6,246000
24,10.1,279.1726,7,24.97528,121.54541,47.9,479000
25,39.6,480.6977,4,24.97353,121.53885,38.8,388000
26,29.3,1487.868,2,24.97542,121.51726,27,270000
27,3.1,383.8624,5,24.98085,121.54391,56.2,562000
28,10.4,276.449,5,24.95593,121.53913,33.6,336000
29,19.2,557.478,4,24.97419,121.53797,47,470000
30,7.1,451.2438,5,24.97563,121.54694,57.1,571000
31,25.9,4519.69,0,24.94826,121.49587,22.1,221000
32,29.6,769.4034,7,24.98281,121.53408,25,250000
33,37.9,488.5727,1,24.97349,121.53451,34.2,342000
34,16.5,323.655,6,24.97841,121.54281,49.3,493000
35,15.4,205.367,7,24.98419,121.54243,55.1,551000
36,13.9,4079.418,0,25.01459,121.51816,27.3,273000
37,14.7,1935.009,2,24.96386,121.51458,22.9,229000
38,12,1360.139,1,24.95204,121.54842,25.3,253000
39,3.1,577.9615,6,24.97201,121.54722,47.7,477000
40,16.2,289.3248,5,24.98203,121.54348,46.2,462000
41,13.6,4082.015,0,24.94155,121.50381,15.9,159000
42,16.8,4066.587,0,24.94297,121.50342,18.2,182000
43,36.1,519.4617,5,24.96305,121.53758,34.7,347000
44,34.4,512.7871,6,24.98748,121.54301,34.1,341000
45,2.7,533.4762,4,24.97445,121.54765,53.9,539000
46,36.6,488.8193,8,24.97015,121.54494,38.3,383000
47,21.7,463.9623,9,24.9703,121.54458,42,420000
48,35.9,640.7391,3,24.97563,121.53715,61.5,615000
49,24.2,4605.749,0,24.94684,121.49578,13.4,134000
50,29.4,4510.359,1,24.94925,121.49542,13.2,132000
51,21.7,512.5487,4,24.974,121.53842,44.2,442000
52,31.3,1758.406,1,24.95402,121.55282,20.7,207000
53,32.1,1438.579,3,24.97419,121.5175,27,270000
54,13.3,492.2313,5,24.96515,121.53737,38.9,389000
55,16.1,289.3248,5,24.98203,121.54348,51.7,517000
56,31.7,1160.632,0,24.94968,121.53009,13.7,137000
57,33.6,371.2495,8,24.97254,121.54059,41.9,419000
58,3.5,56.47425,7,24.95744,121.53711,53.5,535000
59,30.3,4510.359,1,24.94925,121.49542,22.6,226000
60,13.3,336.0532,5,24.95776,121.53438,42.4,424000
61,11,1931.207,2,24.96365,121.51471,21.3,213000
62,5.3,259.6607,6,24.97585,121.54516,63.2,632000
63,17.2,2175.877,3,24.96303,121.51254,27.7,277000
64,2.6,533.4762,4,24.97445,121.54765,55,550000
65,17.5,995.7554,0,24.96305,121.54915,25.3,253000
66,40.1,123.7429,8,24.97635,121.54329,44.3,443000
67,1,193.5845,6,24.96571,121.54089,50.7,507000
68,8.5,104.8101,5,24.96674,121.54067,56.8,568000
69,30.4,464.223,6,24.97964,121.53805,36.2,362000
70,12.5,561.9845,5,24.98746,121.54391,42,420000
71,6.6,90.45606,9,24.97433,121.5431,59,590000
72,35.5,640.7391,3,24.97563,121.53715,40.8,408000
73,32.5,424.5442,8,24.97587,121.53913,36.3,363000
74,13.8,4082.015,0,24.94155,121.50381,20,200000
75,6.8,379.5575,10,24.98343,121.53762,54.4,544000
76,12.3,1360.139,1,24.95204,121.54842,29.5,295000
77,35.9,616.4004,3,24.97723,121.53767,36.8,368000
78,20.5,2185.128,3,24.96322,121.51237,25.6,256000
79,38.2,552.4371,2,24.97598,121.53381,29.8,298000
80,18,1414.837,1,24.95182,121.54887,26.5,265000
81,11.8,533.4762,4,24.97445,121.54765,40.3,403000
82,30.8,377.7956,6,24.96427,121.53964,36.8,368000
83,13.2,150.9347,7,24.96725,121.54252,48.1,481000
84,25.3,2707.392,3,24.96056,121.50831,17.7,177000
85,15.1,383.2805,7,24.96735,121.54464,43.7,437000
86,0,338.9679,9,24.96853,121.54413,50.8,508000
87,1.8,1455.798,1,24.9512,121.549,27,270000
88,16.9,4066.587,0,24.94297,121.50342,18.3,183000
89,8.9,1406.43,0,24.98573,121.52758,48,480000
90,23,3947.945,0,24.94783,121.50243,25.3,253000
91,0,274.0144,1,24.9748,121.53059,45.4,454000
92,9.1,1402.016,0,24.98569,121.5276,43.2,432000
93,20.6,2469.645,4,24.96108,121.51046,21.8,218000
94,31.9,1146.329,0,24.9492,121.53076,16.1,161000
95,40.9,167.5989,5,24.9663,121.54026,41,410000
96,8,104.8101,5,24.96674,121.54067,51.8,518000
97,6.4,90.45606,9,24.97433,121.5431,59.5,595000
98,28.4,617.4424,3,24.97746,121.53299,34.6,346000
99,16.4,289.3248,5,24.98203,121.54348,51,510000
100,6.4,90.45606,9,24.97433,121.5431,62.2,622000
101,17.5,964.7496,4,24.98872,121.53411,38.2,382000
102,12.7,170.1289,1,24.97371,121.52984,32.9,329000
103,1.1,193.5845,6,24.96571,121.54089,54.4,544000
104,0,208.3905,6,24.95618,121.53844,45.7,457000
105,32.7,392.4459,6,24.96398,121.5425,30.5,305000
106,0,292.9978,6,24.97744,121.54458,71,710000
107,17.2,189.5181,8,24.97707,121.54308,47.1,471000
108,12.2,1360.139,1,24.95204,121.54842,26.6,266000
109,31.4,592.5006,2,24.9726,121.53561,34.1,341000
110,4,2147.376,3,24.96299,121.51284,28.4,284000
111,8.1,104.8101,5,24.96674,121.54067,51.6,516000
112,33.3,196.6172,7,24.97701,121.54224,39.4,394000
